file_id,mean,std,rms,peak,peak_to_peak,crest_factor,skewness,kurtosis,energy,spectral_mean,spectral_std,spectral_peak,peak_frequency,spectral_energy,spectral_entropy,fault_band_1_power,fault_band_2_power,fault_band_3_power,fault_band_4_power,rpm_mean,rpm_std,rpm_min,rpm_max,rpm_range,rpm_trend
31,-3.448500744222353e-18,1.0,1.0,3.8468848454887743,7.6358294182990925,3.8468848454887743,0.03828097940755442,-0.2572582853135268,187500.00000000003,174.74607491951366,396.1883040891421,20036.75076841985,45009.5,17578065279.58764,10.700003906841204,238200.9257317583,16007578.395432504,21921595.022803932,45777430.89402804,591776504.5183004,496887.80945733667,591168727.4370552,593175476.5967588,2006749.1597036123,1853.3153065999545
32,-2.5352164811920375e-17,1.0,1.0,3.8089335913690254,7.506144206648537,3.8089335913690254,0.05925520079412439,-0.2319342661352577,187500.0,171.79587737218952,397.47703688464617,27968.12384362494,29924.0,17578107966.870304,10.761221023295825,188687.22342967935,12151693.86196566,20634328.034268953,37310319.25630347,592249758.5926443,632247.504158464,591206007.7040707,593952141.712246,2746134.008175254,1407.047286275312
33,1.6745123806079694e-17,1.0,1.0,3.8681511196191107,7.6631183515051875,3.8681511196191107,0.0013376533330218751,-0.28672327417225096,187500.00000000003,179.187627589206,394.20018220297266,17451.694303497618,44874.0,17578124016.43905,11.826873037089772,49861.50622075039,10610110.504123924,6381571.0445278715,6881802.9792346,592501997.6051103,601047.4843696842,591005992.012742,593380719.3989615,2374727.3862195015,-3700.369703588089
34,3.90301124753023e-17,1.0,1.0,4.176338580445009,8.260172831880851,4.176338580445009,0.017982028171361526,-0.05489518676935967,187500.00000000006,248.66529963251074,354.49621238210625,9663.760584125255,4795.5,17578124607.49658,13.487662549114308,209743.21285569252,40537691.44393836,25835687.07905698,23672304.58389584,592032412.6769173,981842.5641294572,590385067.5085278,594108973.8444151,3723906.335887313,-3255.2270487033516
35,-2.3267906120357414e-17,1.0,1.0,4.325926066042171,8.566608851588322,4.325926066042171,-0.02178201627282777,-0.10319281255189061,187500.0,212.86332764001753,377.0824753102597,25733.50578086792,5114.0,17578124008.01938,11.887952328903511,292220.1085576237,41571875.002635956,23212033.88693428,54717985.33947014,591695831.049797,268643.29657591786,590968736.965853,592163232.8217152,1194495.8558622599,1431.9704357048925
36,3.6550318327499555e-17,1.0,1.0,4.182120586088524,7.701842359194626,4.182120586088524,0.060921506821482,-0.28510142900589663,187500.00000000006,169.844612990026,398.3144355386475,18834.655615593012,44974.0,17578085822.18692,10.449163120888604,285915.61054101516,16800967.093894273,20234251.151046947,42204356.99571879,592080560.301923,657987.6635450778,591179911.0234851,593772827.2664908,2592916.2430057526,3989.8997879994577
37,1.712881688339015e-17,1.0,1.0,4.295661353865413,8.084665308403402,4.295661353865413,-0.031126089422024574,-0.18334800953493247,187500.0,216.91305868174612,374.7675482574573,13669.134421522878,45276.0,17578124084.282524,12.604446816415257,363863.4497478496,37084125.69646077,41259371.81963674,45454290.121706605,593212181.9978659,557691.1325451339,592044189.125747,594176123.3097597,2131934.1840127707,857.1286484288114
38,-5.1916989226204655e-18,1.0,1.0,4.323473870702975,8.276345636042196,4.323473870702975,0.05721332400253784,-0.12997088171089333,187500.0,203.7070683172002,382.10655185566475,12259.668488847481,5181.5,17578123746.770935,12.370508907175687,298012.33242582914,27927357.939854607,14487379.915691571,140052446.94720867,591991859.6647705,894362.9425643253,590561721.3115522,593946497.2995219,3384775.987969756,-2644.532465017096
39,-2.3684757858670005e-18,0.9999999999999998,0.9999999999999998,3.922926479825322,7.7382825326914215,3.922926479825323,0.02335342418800553,-0.24806284185798155,187499.99999999994,171.2838966467396,397.6981166695624,31214.65436693815,5239.0,17578121740.50423,10.543762663061504,347332.57349217485,21731849.37014707,16274338.363235936,72737871.78150572,592437441.8100705,187573.13925727244,592021133.838876,592832887.5229821,811753.6841061115,-441.995036349004
40,1.5560885913146195e-18,1.0,1.0,4.302470236132589,8.416415946953183,4.302470236132589,0.011859439535655896,-0.1382845832523909,187500.00000000003,217.82563017747034,374.2378085851682,7641.354994793324,39877.5,17578119610.886314,13.0478924766563,155001.10013948925,23228160.698044896,22927451.596610952,28760294.030578993,590598527.314882,658264.5447838863,588883759.0570318,591673030.4388117,2789271.381779909,771.7027897562682
41,1.3121355853703183e-17,0.9999999999999999,0.9999999999999999,4.245544005333612,8.380117599218266,4.245544005333613,-0.028712485805465933,-0.12218811750744729,187499.99999999997,187.60913544234256,390.26249125001533,33955.445711186105,5162.0,17578124977.19631,11.241810458489098,346439.24186731025,20180827.982340112,16157430.971004024,36751641.026767366,591850185.5932552,359195.27123648045,591315390.2839266,592713574.4580082,1398184.174081564,-748.7481222831778
42,1.546140993013978e-17,1.0,1.0,4.139969469543088,8.082790174350478,4.139969469543088,0.011713591129660424,-0.11590684338362411,187500.0,221.59959094768882,372.015612880488,42295.71424762353,5111.5,17578124523.163956,11.826649547813963,439762.37191384076,25235669.260132324,29128601.48535405,39217533.391268246,591550801.8506159,242374.14846517862,591020895.3467587,592014902.9884968,994007.6417380571,-322.1954383150263
43,-1.2770821437394867e-17,0.9999999999999998,0.9999999999999998,4.3813560847005455,8.385962066504703,4.381356084700546,-0.039914174898996395,-0.1324045652233945,187499.99999999994,190.82750500048311,388.6983059215987,27797.84663282124,5190.0,17578079032.024384,11.260150827003663,338018.14992937003,17992939.981243126,15357442.828676768,153422495.28305623,591839571.4092058,363249.66488826374,591013443.5857977,592490693.9461749,1477250.3603771925,1722.8961337737458
44,-2.5247951877342226e-17,1.0,1.0,4.469989807594758,8.749070220031752,4.469989807594758,0.024547951647102047,0.039050802891951175,187500.0,213.3015517872141,376.83353477304803,13924.948638220714,4875.5,17578037335.59604,12.668274836027079,255570.42576569237,32637926.602722514,28891022.63454604,28075005.675063334,593127577.2692041,872450.5920911592,592073478.1606416,595451071.388478,3377593.2278364897,2773.4843458223404
45,-9.549694368615746e-18,0.9999999999999999,0.9999999999999999,3.894461980582633,7.7168230975103755,3.8944619805826335,0.02778685540364297,-0.16846713007988745,187499.99999999997,194.95443195538235,386.6448396255948,21672.00150158004,5215.5,17578074612.4263,11.659044572391956,313205.60113200545,28748595.270072773,23365801.986045778,177971404.0683759,591916589.1480774,531857.4936724959,590753991.1339706,593205503.2597294,2451512.125758767,-1873.6472042190883
46,-3.5280815306274844e-17,0.9999999999999999,0.9999999999999999,4.3187414174018475,8.412142468436222,4.318741417401848,-0.004805657676607389,-0.15275463566641134,187499.99999999997,199.48256961205672,384.3288918669194,16115.58023698202,29872.0,17578124313.883854,11.771211163562487,280966.7122935363,37007091.7026585,24011951.467608735,99954371.16366923,591635402.5912938,415921.6887975295,590776947.8309869,592534382.7951107,1757434.964123845,1055.867449148713
47,3.610030792818482e-17,0.9999999999999998,0.9999999999999998,3.92089742450075,7.763840694059585,3.920897424500751,0.02772581183561041,-0.3466359415182114,187499.99999999994,170.266299132254,398.1348781178324,17593.304516895252,45027.5,17578124416.20266,10.37371543794853,219988.3492648868,18452216.836764112,21498282.89590412,43677648.80160778,591690778.0969983,300426.2671176615,590887413.1001526,592535006.9681996,1647593.868046999,208.0612685718142
48,-1.5916157281026243e-17,1.0,1.0,4.514235018014823,8.54151066735381,4.514235018014823,0.02126610145788941,-0.12356001899256741,187500.00000000003,190.9953579982121,388.6163248875315,33557.31274578437,29850.5,17578113255.55869,11.158065864639195,254398.2238905679,19379493.59171702,28129542.44423903,54645135.61595903,591398574.2096529,171929.2765383238,591094802.1487508,591836133.4635191,741331.3147683144,39.42881468554626
49,1.2988721209694631e-17,1.0,1.0,4.5492504978764865,8.862253479065899,4.5492504978764865,0.029833270379993337,-0.006863676435145294,187500.00000000006,211.3670771220488,377.92282045717303,38107.28220442416,5183.5,17578096827.68387,12.349380979795825,219906.36383329052,16351166.510430945,19612355.215021007,52871941.94813627,591722477.6550378,581461.7273090535,590458815.3664255,592877876.6434139,2419061.276988387,405.10222214454166
50,-1.815199842288469e-17,1.0,1.0,4.316824055403432,8.271586434588475,4.316824055403432,-0.04401177648757474,-0.23124417784244056,187500.00000000003,153.61390712039517,404.8512514019062,24431.2625305052,5229.0,17578103269.089542,10.265211287901334,185202.27648406767,11880078.216314375,14958626.224468932,58012240.283646315,591679873.0658281,288222.559712237,591079895.0872699,592324735.0597273,1244839.972457409,-1156.1698578493208
51,-6.0632980118195216e-18,0.9999999999999999,0.9999999999999999,4.993649094985429,9.852631171463477,4.99364909498543,0.005571074980487958,0.020657716138767768,187499.99999999997,243.9922170739767,357.72616221945356,6768.2416326986395,4796.5,17577957105.628376,13.761283110125662,82008.68048842228,16252322.82669293,17726102.89818309,20732594.73452592,591845784.4120657,497162.98525304906,590821004.8683639,592862254.6472733,2041249.7789094448,1025.3308782579245
52,7.086479551314066e-18,1.0,1.0,4.2740908783283285,8.061688344145946,4.2740908783283285,-0.038424796793350445,-0.16554742215148854,187500.00000000003,176.75988443192972,395.29466168038226,22531.096857597397,44547.0,17578118088.454678,11.4236397500171,202811.80858067662,16168388.200919103,13293953.172765769,45889434.36927302,592253903.9022652,519787.17657018476,591480162.0182531,593578587.6944996,2098425.676246524,-2078.901695256928
53,-2.072890007790799e-17,1.0,1.0,4.617897521055118,8.879513560354713,4.617897521055118,0.029368859882611283,-0.07644975340984406,187500.0,192.52687332477169,387.85991544685606,16850.69335002087,5230.0,17578116650.83794,11.850126937397553,233526.618937845,24639253.634448647,20829481.617990293,95514034.50919986,591880313.5047014,305314.53684516146,591058156.9703406,592535006.9682134,1476849.9978728294,-13.081091979606938
